Table 12,,, ,,,,,,,,,,,,,
Crime Trends,,, ,,,,,, ,, ,,,,,
"by Population Group, 2012–2013",,,,,,,,,,,,,,,,
Population group,,"Violent
 crime","Murder and
 nonnegligent
 manslaughter","Forcible
 rape1",Robbery,"Aggravated
 assault","Property
 crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson,"Number 
of 
agencies","2013 
estimated 
population", ,, 
TOTAL ALL AGENCIES:,2012,"1,145,272","14,349","65,733","345,758","719,432","8,507,866","1,992,895","5,816,991","697,980","51,126",,,,,
,2013,"1,095,149","13,716","62,034","335,428","683,971","8,160,228","1,820,544","5,665,392","674,292","44,245","15,232","299,269,511",  , , 
,Percent change,-4.4  ,-4.4  ,-5.6  ,-3.0  ,-4.9  ,-4.1  ,-8.6  ,-2.6  ,-3.4  ,-13.5  ,,,,,
TOTAL CITIES,2012,"919,218","11,198","50,003","303,475","554,542","6,671,809","1,460,169","4,655,398","556,242","38,974", ,,,,
,2013,"877,594","10,511","47,606","294,292","525,185","6,434,879","1,335,527","4,557,867","541,485","33,432","11,031","202,966,923",,,
,Percent change,-4.5  ,-6.1  ,-4.8  ,-3.0  ,-5.3  ,-3.6  ,-8.5  ,-2.1  ,-2.7  ,-14.2  , ,,,,
"GROUP I (250,000 and over)",2012,"416,885","5,897","15,715","167,168","228,105","2,155,161","493,768","1,401,823","259,570","12,945", ,,,,
,2013,"402,988","5,356","15,522","162,815","219,295","2,097,875","454,980","1,395,583","247,312","12,150",77,"57,394,814",,,
,Percent change,-3.3  ,-9.2  ,-1.2  ,-2.6  ,-3.9  ,-2.7  ,-7.9  ,-0.4  ,-4.7  ,-6.1  , ,,,,
"1,000,000 and over (Group I subset)",2012,"166,007","2,255","5,254","74,843","83,655","783,251","166,197","523,397","93,657","3,547",,,, ,
,2013,"161,252","1,930","5,356","71,478","82,488","760,143","151,503","521,708","86,932","3,612",10,"25,735,804",,,
,Percent change,-2.9  ,-14.4  ,+1.9 ,-4.5  ,-1.4  ,-3.0  ,-8.8  ,-0.3  ,-7.2  ,+1.8 , ,,, ,
"500,000 to 999,999 (Group I subset)",2012,"138,439","1,929","5,833","48,874","81,803","747,008","177,258","481,094","88,656","4,772",,,,,
,2013,"134,216","1,786","5,848","48,375","78,207","733,283","164,283","482,351","86,649","4,466",24,"16,780,477",,,
,Percent change,-3.1  ,-7.4  ,+0.3 ,-1.0  ,-4.4  ,-1.8  ,-7.3  ,+0.3 ,-2.3  ,-6.4  ,, ,, ,
"250,000 to 499,999 (Group I subset)",2012,"112,439","1,713","4,628","43,451","62,647","624,902","150,313","397,332","77,257","4,626",,,,,
,2013,"107,520","1,640","4,318","42,962","58,600","604,449","139,194","391,524","73,731","4,072",43,"14,878,533", ,,
,Percent change,-4.4  ,-4.3  ,-6.7  ,-1.1  ,-6.5  ,-3.3  ,-7.4  ,-1.5  ,-4.6  ,-12.0  ,,,,,
"GROUP II (100,000 to 249,999)",2012,"154,144","1,788","8,812","50,456","93,088","1,167,627","268,959","793,349","105,319","6,540",,,,,
,2013,"145,408","1,806","7,951","48,590","87,061","1,130,942","246,360","778,577","106,005","5,603",215,"32,029,761",,,
,Percent change,-5.7  ,+1.0 ,-9.8  ,-3.7  ,-6.5  ,-3.1  ,-8.4  ,-1.9  ,+0.7 ,-14.3  ,,,,,
"GROUP III (50,000 to 99,999)",2012,"116,180","1,162","7,351","34,531","73,136","977,397","215,072","687,344","74,981","5,584",,,,,
,2013,"110,033","1,171","6,972","33,264","68,626","942,519","194,902","673,912","73,705","4,599",471,"32,516,218",,,
,Percent change,-5.3  ,+0.8 ,-5.2  ,-3.7  ,-6.2  ,-3.6  ,-9.4  ,-2.0  ,-1.7  ,-17.6  ,,,,,
"GROUP IV (25,000 to 49,999)",2012,"85,900",920,"6,370","23,082","55,528","836,125","172,406","616,275","47,444","4,538",,,,,
,2013,"80,441",865,"6,035","22,462","51,079","806,275","158,056","601,616","46,603","3,489",841,"28,988,979",,,
,Percent change,-6.4  ,-6.0  ,-5.3  ,-2.7  ,-8.0  ,-3.6  ,-8.3  ,-2.4  ,-1.8  ,-23.1  ,,,,,
"GROUP V (10,000 to 24,999)",2012,"77,759",826,"6,011","17,517","53,405","817,630","169,750","608,579","39,301","3,809",,,,,
,2013,"73,998",713,"5,587","17,065","50,633","778,955","153,632","586,929","38,394","3,212","1,813","28,865,002",,,
,Percent change,-4.8  ,-13.7  ,-7.1  ,-2.6  ,-5.2  ,-4.7  ,-9.5  ,-3.6  ,-2.3  ,-15.7  ,, ,,,
"GROUP VI (under 10,000)",2012,"68,350",605,"5,744","10,721","51,280","717,869","140,214","548,028","29,627","5,558",,,,,
,2013,"64,726",600,"5,539","10,096","48,491","678,313","127,597","521,250","29,466","4,379","7,614","23,172,149",,,
,Percent change,-5.3  ,-0.8  ,-3.6  ,-5.8  ,-5.4  ,-5.5  ,-9.0  ,-4.9  ,-0.5  ,-21.2  ,,,,,
METROPOLITAN COUNTIES,2012,"183,662","2,337","11,357","39,349","130,619","1,461,686","405,229","938,019","118,438","9,151",,,,,
,2013,"177,318","2,386","10,425","38,507","126,000","1,380,837","369,194","901,047","110,596","8,153","1,844","71,774,379",,,
,Percent change,-3.5  ,+2.1 ,-8.2  ,-2.1  ,-3.5  ,-5.5  ,-8.9  ,-3.9  ,-6.6  ,-10.9  ,,,,,
NONMETROPOLITAN COUNTIES2,2012,"42,392",814,"4,373","2,934","34,271","374,371","127,497","223,574","23,300","3,001",,,,,
,2013,"40,237",819,"4,003","2,629","32,786","344,512","115,823","206,478","22,211","2,660","2,357","24,528,209",,,
,Percent change,-5.1  ,+0.6 ,-8.5  ,-10.4  ,-4.3  ,-8.0  ,-9.2  ,-7.6  ,-4.7  ,-11.4  ,,,,,
SUBURBAN AREAS3,2012,"326,107","3,773","21,495","75,543","225,296","3,023,845","709,426","2,112,377","202,042","17,202",,,,,
,2013,"312,046","3,692","20,220","73,494","214,640","2,865,297","642,401","2,030,729","192,167","14,556","8,346","131,056,632",,,
,Percent change,-4.3  ,-2.1  ,-5.9  ,-2.7  ,-4.7  ,-5.2  ,-9.4  ,-3.9  ,-4.9  ,-15.4  ,,,,,
1 The rape figures in this table are based on the legacy Uniform Crime Reporting (UCR) definition of rape.  The rape figures shown for 2012 and 2013 include converted National Incident-Based Reporting System rape data and those states/agencies that reported the legacy UCR definition of rape for both years.  ,,,,,,,,,,,,,,,,
2 Includes state police agencies that report aggregately for the entire state. ,,,,,,,,,,,,,,,,
"3 Suburban areas include law enforcement agencies in cities with less than 50,000 inhabitants and county law enforcement agencies that are within a Metropolitan Statistical Area.  Suburban areas exclude all metropolitan agencies associated with a principal city.  The agencies associated with suburban areas also appear in other groups within this table.  ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,,
